what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1373494668355
locale,sysinfo,,,"en_US",1373494668355
processors,sysinfo,,,"4",1373494668355
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1373494668355
java.runtime.version,sysinfo,,,"1.7.0_15-b03",1373494668355
java.specification.name,sysinfo,,,"Java Platform API Specification",1373494668355
java.specification.vendor,sysinfo,,,"Oracle Corporation",1373494668355
java.specification.version,sysinfo,,,"1.7",1373494668355
java.vendor,sysinfo,,,"Oracle Corporation",1373494668355
java.version,sysinfo,,,"1.7.0_15",1373494668355
java.vm.info,sysinfo,,,"mixed mode, sharing",1373494668355
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1373494668355
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1373494668355
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1373494668355
java.vm.specification.version,sysinfo,,,"1.7",1373494668355
java.vm.vendor,sysinfo,,,"Oracle Corporation",1373494668355
java.vm.version,sysinfo,,,"23.7-b01",1373494668355
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373494668389
error,log,,,"Failed to load properties file for project 'CarTextResponder'",1373494668765
error,log,,,"Failed to load properties file for project 'CarTextResponder'",1373494668778
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1373494669099
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1373494669518
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1373494669584
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1373494669674
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1373494669990
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1373494670408
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1373494670511
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1373494671164
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1373494671241
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373494672165
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373494678248
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1373494680046
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373494685509
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1373494686169
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373494686328
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373494697768
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373494697808
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1373494709864
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373494710168
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373494710253
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373494714107
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1373494732720
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1373494732970
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1373494733144
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373494737256
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1373494737256
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373494744133
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1373494766937
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1373494767004
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1373494767133
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1373494770347
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.deletePreviousWord",1373494796186
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1373494827111
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373494865002
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373494866231
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373494866371
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373494867601
error,log,,,"Failed to load properties file for project 'CarTextResponder'",1373494867857
error,log,,,"Failed to load properties file for project 'CarTextResponder'",1373494867875
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1373494868196
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1373494868966
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1373494869046
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1373494869069
stopped,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1373494869069
